geo_id,do_date,total_pop,pop_25_years_over,pop_25_64,not_us_citizen_pop,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,employed_pop,employed_arts_entertainment_recreation_accommodation_food,employed_finance_insurance_real_estate,employed_information,employed_public_administration,employed_science_management_admin_waste,bachelors_degree_or_higher_25_64,aggregate_travel_time_to_work,male_pop,female_pop,asian_including_hispanic,black_including_hispanic,white_including_hispanic,area_land_meters,int_point_lat,int_point_lon
37191,2011,123697.0,80092.0,63863.0,6714.0,5672.0,3730.0,4674.0,2523.0,3349.0,2266.0,2486.0,2679.0,2572.0,3255.0,6453.0,4457.0,1837.0,1092.0,1112.0,427.0,51286.0,4581.0,953.0,1118.0,4738.0,2446.0,10144.0,1123410.0,60773.0,62924.0,686.0,39182.0,69371.0,1434643400,35.3541896,-78.0086695
9007,2011,166043.0,117426.0,91125.0,6485.0,2139.0,2015.0,2309.0,2031.0,2675.0,2202.0,1938.0,2479.0,1905.0,4940.0,6585.0,9001.0,8145.0,4966.0,5040.0,5703.0,86543.0,5029.0,8808.0,1717.0,3978.0,9535.0,37292.0,2024175.0,81293.0,84750.0,3676.0,7861.0,147929.0,956493754,41.4330028,-72.5227802
55073,2011,134400.0,91980.0,72513.0,3186.0,2664.0,2691.0,3150.0,3494.0,2411.0,3101.0,2655.0,3565.0,1868.0,4900.0,6633.0,6860.0,4489.0,1989.0,1641.0,1232.0,67607.0,4350.0,6597.0,880.0,1507.0,3248.0,17690.0,1191110.0,67974.0,66426.0,6632.0,428.0,123519.0,4001992795,44.898036299999994,-89.757823
36075,2011,122228.0,79248.0,63631.0,1030.0,4008.0,2130.0,2250.0,3440.0,3092.0,3157.0,2041.0,2677.0,1991.0,4179.0,4643.0,5282.0,2362.0,1303.0,839.0,903.0,51392.0,5946.0,2245.0,661.0,1423.0,3359.0,10341.0,1160110.0,60922.0,61306.0,418.0,1308.0,117230.0,2464751381,43.461443100000004,-76.20926180000001
24037,2011,107484.0,69267.0,57445.0,1879.0,1789.0,1136.0,1016.0,1283.0,271.0,1717.0,1048.0,1696.0,944.0,2477.0,3105.0,6250.0,5078.0,2885.0,3787.0,2485.0,51345.0,4359.0,1712.0,263.0,7976.0,6760.0,18520.0,1412125.0,53076.0,54408.0,3171.0,16275.0,84347.0,929021301,38.2202894,-76.5303837
39133,2011,161624.0,102717.0,81647.0,3268.0,6022.0,2552.0,2603.0,3502.0,3808.0,2758.0,3758.0,2598.0,2566.0,5389.0,5613.0,8041.0,4893.0,2867.0,1466.0,1351.0,79805.0,8896.0,4715.0,917.0,2711.0,5119.0,19810.0,1821360.0,79456.0,82168.0,2423.0,5684.0,148668.0,1262370046,41.1689703,-81.1969618
17163,2011,270259.0,177370.0,143220.0,4067.0,10468.0,6653.0,6217.0,5378.0,5401.0,4695.0,5128.0,3361.0,3095.0,9944.0,9798.0,11332.0,8673.0,4041.0,5373.0,2232.0,119308.0,10066.0,7004.0,2164.0,8763.0,13756.0,40854.0,2827590.0,129302.0,140957.0,4000.0,80060.0,177133.0,1703443126,38.470197600000006,-89.9285459
26111,2011,84063.0,57525.0,44908.0,2899.0,2085.0,1323.0,2566.0,1784.0,1570.0,2208.0,2010.0,1616.0,1116.0,2713.0,4132.0,3603.0,2948.0,1371.0,1086.0,1548.0,36331.0,3612.0,1727.0,946.0,807.0,2884.0,15736.0,689880.0,41516.0,42547.0,2258.0,1048.0,78767.0,1337157039,43.6482031,-84.3794144
29031,2011,76632.0,49357.0,38402.0,1383.0,3123.0,2207.0,1534.0,1023.0,2275.0,1997.0,2432.0,1368.0,892.0,2579.0,3235.0,2677.0,1358.0,1399.0,655.0,406.0,35923.0,3478.0,2681.0,835.0,599.0,2205.0,10384.0,640880.0,36780.0,39852.0,1130.0,5081.0,68132.0,1498414364,37.3841408,-89.68565749999999
1125,2011,197211.0,116587.0,94917.0,4922.0,6278.0,5781.0,3855.0,5219.0,3488.0,3840.0,3266.0,3468.0,2650.0,6005.0,5828.0,8533.0,4404.0,1859.0,1950.0,1245.0,82159.0,9836.0,4455.0,1268.0,3973.0,5562.0,26674.0,1714785.0,94971.0,102240.0,2763.0,60060.0,132893.0,3421010003,33.2902197,-87.52278340000001
